City1,City2,Distance
Washington+DC, Denver,1488
Washington+DC, Minneapolis,933.8
Washington+DC, Oklahoma+City,1153
Washington+DC, Portland,2353
Washington+DC, Salt+Lake+City,1849
Washington+DC, Oakland,2432
Washington+DC, LA,2310
Washington+DC, Phoenix,1981
Washington+DC, Sacramento,2377
Washington+DC, Dallas,1183
Washington+DC, Houston,1221
Washington+DC, Memphis,762.4
Washington+DC, New+Orleans,964.5
Washington+DC, San+Antonio,1388
Orlando, Denver,1546
Orlando, Minneapolis,1308
Orlando, Oklahoma+City,1059
Orlando, Portland,2528
Orlando, Salt+Lake+City,1921
Orlando, Oakland,2431
Orlando, LA,2212
Orlando, Phoenix,1847
Orlando, Sacramento,2394
Orlando, Dallas,961.2
Orlando, Houston,850.8
Orlando, Memphis,678.5
Orlando, New+Orleans,533.6
Orlando, San+Antonio,1039
Miami, Denver,1720
Miami, Minneapolis,1510
Miami, Oklahoma+City,1225
Miami, Portland,2706
Miami, Salt+Lake+City,2091
Miami, Oakland,2583
Miami, LA,2348
Miami, Phoenix,1982
Miami, Sacramento,2549
Miami, Dallas,1109
Miami, Houston,968.7
Miami, Memphis,866.7
Miami, New+Orleans,668.1
Miami, San+Antonio,1150
Charlotte, Denver,1354
Charlotte, Minneapolis,939.9
Charlotte, Oklahoma+City,941.5
Charlotte, Portland,2290
Charlotte, Salt+Lake+City,1731
Charlotte, Oakland,2293
Charlotte, LA,2130
Charlotte, Phoenix,1782
Charlotte, Sacramento,2245
Charlotte, Dallas,928.7
Charlotte, Houston,927.4
Charlotte, Memphis,517.8
Charlotte, New+Orleans,647.6
Charlotte, San+Antonio,1106
Atlanta, Denver,1205
Atlanta, Minneapolis,905
Atlanta, Oklahoma+City,754.6
Atlanta, Portland,2170
Atlanta, Salt+Lake+City,1584
Atlanta, Oakland,2128
Atlanta, LA,1945
Atlanta, Phoenix,1590
Atlanta, Sacramento,2083
Atlanta, Dallas,717.2
Atlanta, Houston,700.7
Atlanta, Memphis,330.4
Atlanta, New+Orleans,421.8
Atlanta, San+Antonio,881.5
Milwaukee, Denver,906
Milwaukee, Minneapolis,294.9
Milwaukee, Oklahoma+City,731.7
Milwaukee, Portland,1715
Milwaukee, Salt+Lake+City,1241
Milwaukee, Oakland,1830
Milwaukee, LA,1751
Milwaukee, Phoenix,1458
Milwaukee, Sacramento,1771
Milwaukee, Dallas,854.8
Milwaukee, Houston,1004
Milwaukee, Memphis,559.6
Milwaukee, New+Orleans,910
Milwaukee, San+Antonio,1105
Indianapolis, Denver,995.6
Indianapolis, Minneapolis,510.5
Indianapolis, Oklahoma+City,690.1
Indianapolis, Portland,1885
Indianapolis, Salt+Lake+City,1359
Indianapolis, Oakland,1940
Indianapolis, LA,1820
Indianapolis, Phoenix,1497
Indianapolis, Sacramento,1886
Indianapolis, Dallas,762.8
Indianapolis, Houston,865.6
Indianapolis, Memphis,385
Indianapolis, New+Orleans,711.3
Indianapolis, San+Antonio,999.2
DET, Denver,1142
DET, Minneapolis,525
DET, Oklahoma+City,912.4
DET, Portland,1951
DET, Salt+Lake+City,1482
DET, Oakland,2071
DET, LA,1985
DET, Phoenix,1682
DET, Sacramento,2012
DET, Dallas,1004
DET, Houston,1116
DET, Memphis,635.6
DET, New+Orleans,954
DET, San+Antonio,1245
Cleveland, Denver,1222
Cleveland, Minneapolis,631.9
Cleveland, Oklahoma+City,951.5
Cleveland, Portland,2055
Cleveland, Salt+Lake+City,1571
Cleveland, Oakland,2158
Cleveland, LA,2060
Cleveland, Phoenix,1746
Cleveland, Sacramento,2101
Cleveland, Dallas,1023
Cleveland, Houston,1113
Cleveland, Memphis,629.4
Cleveland, New+Orleans,921.5
Cleveland, San+Antonio,1256
Chicago, Denver,911.6
Chicago, Minneapolis,354.3
Chicago, Oklahoma+City,689
Chicago, Portland,1756
Chicago, Salt+Lake+City,1260
Chicago, Oakland,1847
Chicago, LA,1752
Chicago, Phoenix,1447
Chicago, Sacramento,1790
Chicago, Dallas,798.5
Chicago, Houston,936.1
Chicago, Memphis,480.8
Chicago, New+Orleans,828.7
Chicago, San+Antonio,1046
Toronto, Denver,1340
Toronto, Minneapolis,693.7
Toronto, Oklahoma+City,1117
Toronto, Portland,2113
Toronto, Salt+Lake+City,1671
Toronto, Oakland,2260
Toronto, LA,2185
Toronto, Phoenix,1887
Toronto, Sacramento,2201
Toronto, Dallas,1202
Toronto, Houston,1301
Toronto, Memphis,817
Toronto, New+Orleans,1111
Toronto, San+Antonio,1439
Philadelphia, Denver,1574
Philadelphia, Minneapolis,984.9
Philadelphia, Oklahoma+City,1261
Philadelphia, Portland,2410
Philadelphia, Salt+Lake+City,1928
Philadelphia, Oakland,2514
Philadelphia, LA,2405
Philadelphia, Phoenix,2081
Philadelphia, Sacramento,2458
Philadelphia, Dallas,1300
Philadelphia, Houston,1344
Philadelphia, Memphis,881.1
Philadelphia, New+Orleans,1091
Philadelphia, San+Antonio,1510
New+York+City, Denver,1629
New+York+City, Minneapolis,1023
New+York+City, Oklahoma+City,1330
New+York+City, Portland,2449
New+York+City, Salt+Lake+City,1979
New+York+City, Oakland,2566
New+York+City, LA,2464
New+York+City, Phoenix,2145
New+York+City, Sacramento,2509
New+York+City, Dallas,1373
New+York+City, Houston,1421
New+York+City, Memphis,955.1
New+York+City, New+Orleans,1168
New+York+City, San+Antonio,1585
Boston, Denver,1766
Boston, Minneapolis,1126
Boston, Oklahoma+City,1497
Boston, Portland,2541
Boston, Salt+Lake+City,2103
Boston, Oakland,2692
Boston, LA,2608
Boston, Phoenix,2299
Boston, Sacramento,2633
Boston, Dallas,1551
Boston, Houston,1606
Boston, Memphis,1136
Boston, New+Orleans,1358
Boston, San+Antonio,1768
