City1,City2,Distance
San+Antonio,Boston,1768
San+Antonio,New+York+City,1585
San+Antonio,Philadelphia,1510
San+Antonio,Toronto,1439
San+Antonio,Chicago,1046
San+Antonio,Cleveland,1256
San+Antonio,Auburn+Hills,1245
San+Antonio,Indianapolis,999.2
San+Antonio,Milwaukee,1105
San+Antonio,Atlanta,881.5
San+Antonio,Charlotte,1106
San+Antonio,Miami,1150
San+Antonio,Orlando,1039
San+Antonio,Washington+DC,1388
San+Antonio,Denver,795.8
San+Antonio,Minneapolis,1106
San+Antonio,Oklahoma+City,417.3
San+Antonio,Portland,1715
San+Antonio,Salt+Lake+City,1086
San+Antonio,Seattle,1784
San+Antonio,Oakland,1476
San+Antonio,LA,1210
San+Antonio,Phoenix,848
San+Antonio,Sacramento,1453
San+Antonio,Dallas,251.5
San+Antonio,Houston,190.1
San+Antonio,Memphis,632.6
San+Antonio,New+Orleans,510
New+Orleans,Boston,1358
New+Orleans,New+York+City,1168
New+Orleans,Philadelphia,1091
New+Orleans,Toronto,1111
New+Orleans,Chicago,828.7
New+Orleans,Cleveland,921.5
New+Orleans,Auburn+Hills,954
New+Orleans,Indianapolis,711.3
New+Orleans,Milwaukee,910
New+Orleans,Atlanta,421.8
New+Orleans,Charlotte,647.6
New+Orleans,Miami,668.1
New+Orleans,Orlando,533.6
New+Orleans,Washington+DC,964.5
New+Orleans,Denver,1077
New+Orleans,Minneapolis,1049
New+Orleans,Oklahoma+City,575.8
New+Orleans,Portland,2061
New+Orleans,Salt+Lake+City,1436
New+Orleans,Seattle,2102
New+Orleans,Oakland,1915
New+Orleans,LA,1682
New+Orleans,Phoenix,1317
New+Orleans,Sacramento,1882
New+Orleans,Dallas,441.4
New+Orleans,Houston,320
New+Orleans,Memphis,353.6
Memphis,Boston,1136
Memphis,New+York+City,955.1
Memphis,Philadelphia,881.1
Memphis,Toronto,817
Memphis,Chicago,480.8
Memphis,Cleveland,629.4
Memphis,Auburn+Hills,635.6
Memphis,Indianapolis,385
Memphis,Milwaukee,559.6
Memphis,Atlanta,330.4
Memphis,Charlotte,517.8
Memphis,Miami,866.7
Memphis,Orlando,678.5
Memphis,Washington+DC,762.4
Memphis,Denver,878.9
Memphis,Minneapolis,702.1
Memphis,Oklahoma+City,426.6
Memphis,Portland,1853
Memphis,Salt+Lake+City,1257
Memphis,Seattle,1873
Memphis,Oakland,1797
Memphis,LA,1618
Memphis,Phoenix,1266
Memphis,Sacramento,1753
Memphis,Dallas,421
Memphis,Houston,484
Houston,Boston,1606
Houston,New+York+City,1421
Houston,Philadelphia,1344
Houston,Toronto,1302
Houston,Chicago,936.1
Houston,Cleveland,1113
Houston,Auburn+Hills,1116
Houston,Indianapolis,865.6
Houston,Milwaukee,1004
Houston,Atlanta,700.7
Houston,Charlotte,927.4
Houston,Miami,968.7
Houston,Orlando,850.8
Houston,Washington+DC,1221
Houston,Denver,873.5
Houston,Minneapolis,1053
Houston,Oklahoma+City,411
Houston,Portland,1833
Houston,Salt+Lake+City,1200
Houston,Seattle,1890
Houston,Oakland,1633
Houston,LA,1381
Houston,Phoenix,1017
Houston,Sacramento,1605
Houston,Dallas,223.1
Dallas,Boston,1551
Dallas,New+York+City,1373
Dallas,Philadelphia,1300
Dallas,Toronto,1202
Dallas,Chicago,798.5
Dallas,Cleveland,1023
Dallas,Auburn+Hills,1004
Dallas,Indianapolis,762.8
Dallas,Milwaukee,854.8
Dallas,Atlanta,717.2
Dallas,Charlotte,928.7
Dallas,Miami,1109
Dallas,Orlando,961.2
Dallas,Washington+DC,1183
Dallas,Denver,659.8
Dallas,Minneapolis,860.1
Dallas,Oklahoma+City,189.2
Dallas,Portland,1633
Dallas,Salt+Lake+City,1003
Dallas,Seattle,1683
Dallas,Oakland,1475
Dallas,LA,1252
Dallas,Phoenix,888.7
Dallas,Sacramento,1440
Sacramento,Boston,2633
Sacramento,New+York+City,2509
Sacramento,Philadelphia,2458
Sacramento,Toronto,2201
Sacramento,Chicago,1790
Sacramento,Cleveland,2101
