,team,opponent,date,index,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,team_PTS,team_TS%,team_eFG%,team_3PAr,team_FTr,team_ORB%,team_DRB%,team_TRB%,team_AST%,team_STL%,team_BLK%,team_TOV%,team_USG%,team_ORtg,team_DRtg,team_TSA,team_FTAr,team_2P,team_2PA,team_2P%,team_2PAr,team_ORBr,team_DRBr,team_AST/TOV,team_STL/TOV,team_FIC,team_FT/FGA,team_HOB,team_+/-,opponent_FG,opponent_FGA,opponent_FG%,opponent_3P,opponent_3PA,opponent_3P%,opponent_FT,opponent_FTA,opponent_FT%,opponent_ORB,opponent_DRB,opponent_TRB,opponent_AST,opponent_STL,opponent_BLK,opponent_TOV,opponent_PF,opponent_PTS,opponent_TS%,opponent_eFG%,opponent_3PAr,opponent_FTr,opponent_ORB%,opponent_DRB%,opponent_TRB%,opponent_AST%,opponent_STL%,opponent_BLK%,opponent_TOV%,opponent_USG%,opponent_ORtg,opponent_DRtg,opponent_TSA,opponent_FTAr,opponent_2P,opponent_2PA,opponent_2P%,opponent_2PAr,opponent_ORBr,opponent_DRBr,opponent_AST/TOV,opponent_STL/TOV,opponent_FIC,opponent_FT/FGA,opponent_HOB,opponent_+/-,home
0,Indiana Pacers,Orlando Magic,201310290,Indiana Pacers1,34.0,71.0,0.4788732394366197,7.0,17.0,0.4117647058823529,22.0,32.0,0.6875,10.0,34.0,44.0,17.0,4.0,18.0,20.0,13.0,97.0,0.5700517160319699,0.528169014084507,0.23943661971830985,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,100.0,102.1,91.6,85.08,0.4507042253521127,27.0,54.0,0.5,0.7605633802816901,0.2272727272727273,0.7727272727272727,0.85,0.2,79.75,0.30985915492957744,1.5,10.0,36.0,93.0,0.3870967741935484,9.0,19.0,0.4736842105263158,6.0,10.0,0.6,13.0,26.0,39.0,17.0,10.0,6.0,17.0,26.0,87.0,0.44661190965092395,0.4354838709677419,0.2043010752688172,0.10800000000000001,27.7,72.2,47.0,47.2,10.5,11.1,14.9,100.0,91.6,102.1,97.4,0.10752688172043012,27.0,74.0,0.3648648648648649,0.7956989247311828,0.3333333333333333,0.6666666666666666,1.0,0.5882352941176471,49.0,0.06451612903225806,1.4722222222222223,-10.0,1
1,Orlando Magic,Indiana Pacers,201310290,Indiana Pacers1,36.0,93.0,0.3870967741935484,9.0,19.0,0.4736842105263158,6.0,10.0,0.6,13.0,26.0,39.0,17.0,10.0,6.0,17.0,26.0,87.0,0.44661190965092395,0.4354838709677419,0.2043010752688172,0.10800000000000001,27.7,72.2,47.0,47.2,10.5,11.1,14.9,100.0,91.6,102.1,97.4,0.10752688172043012,27.0,74.0,0.3648648648648649,0.7956989247311828,0.3333333333333333,0.6666666666666666,1.0,0.5882352941176471,49.0,0.06451612903225806,1.4722222222222223,-10.0,34.0,71.0,0.4788732394366197,7.0,17.0,0.4117647058823529,22.0,32.0,0.6875,10.0,34.0,44.0,17.0,4.0,18.0,20.0,13.0,97.0,0.5700517160319699,0.528169014084507,0.23943661971830985,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,100.0,102.1,91.6,85.08,0.4507042253521127,27.0,54.0,0.5,0.7605633802816901,0.2272727272727273,0.7727272727272727,0.85,0.2,79.75,0.30985915492957744,1.5,10.0,0
2,Los Angeles Lakers,Los Angeles Clippers,201310290,Los Angeles Lakers1,42.0,93.0,0.4516129032258064,14.0,29.0,0.4827586206896552,18.0,28.0,0.6428571428571429,18.0,34.0,52.0,23.0,8.0,6.0,19.0,23.0,116.0,0.5507026205848842,0.5268817204301075,0.3118279569892473,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100.0,115.6,102.6,105.32,0.3010752688172043,28.0,64.0,0.4375,0.6881720430107527,0.3461538461538461,0.6538461538461539,1.2105263157894737,0.42105263157894735,85.75,0.1935483870967742,1.5476190476190477,13.0,41.0,83.0,0.4939759036144578,8.0,21.0,0.3809523809523809,13.0,23.0,0.5652173913043478,10.0,30.0,40.0,27.0,11.0,4.0,16.0,21.0,103.0,0.5530498281786941,0.5421686746987951,0.2530120481927711,0.27699999999999997,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100.0,102.6,115.6,93.12,0.27710843373493976,33.0,62.0,0.532258064516129,0.7469879518072289,0.25,0.75,1.6875,0.6875,80.125,0.1566265060240964,1.6585365853658536,-13.0,1
3,Los Angeles Clippers,Los Angeles Lakers,201310290,Los Angeles Lakers1,41.0,83.0,0.4939759036144578,8.0,21.0,0.3809523809523809,13.0,23.0,0.5652173913043478,10.0,30.0,40.0,27.0,11.0,4.0,16.0,21.0,103.0,0.5530498281786941,0.5421686746987951,0.2530120481927711,0.27699999999999997,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100.0,102.6,115.6,93.12,0.27710843373493976,33.0,62.0,0.532258064516129,0.7469879518072289,0.25,0.75,1.6875,0.6875,80.125,0.1566265060240964,1.6585365853658536,-13.0,42.0,93.0,0.4516129032258064,14.0,29.0,0.4827586206896552,18.0,28.0,0.6428571428571429,18.0,34.0,52.0,23.0,8.0,6.0,19.0,23.0,116.0,0.5507026205848842,0.5268817204301075,0.3118279569892473,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100.0,115.6,102.6,105.32,0.3010752688172043,28.0,64.0,0.4375,0.6881720430107527,0.3461538461538461,0.6538461538461539,1.2105263157894737,0.42105263157894735,85.75,0.1935483870967742,1.5476190476190477,13.0,0
4,Miami Heat,Chicago Bulls,201310290,Miami Heat1,37.0,72.0,0.5138888888888888,11.0,20.0,0.55,22.0,29.0,0.7586206896551724,5.0,35.0,40.0,26.0,10.0,7.0,18.0,21.0,107.0,0.6311939594148183,0.5902777777777778,0.2777777777777778,0.40299999999999997,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100.0,110.2,97.9,84.76,0.4027777777777778,26.0,52.0,0.5,0.7222222222222222,0.125,0.875,1.4444444444444444,0.5555555555555556,87.875,0.3055555555555556,1.7027027027027026,12.0,35.0,83.0,0.42168674698795183,7.0,26.0,0.2692307692307692,18.0,23.0,0.7826086956521741,11.0,30.0,41.0,23.0,11.0,4.0,18.0,27.0,95.0,0.5100945017182129,0.463855421686747,0.3132530120481928,0.27699999999999997,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100.0,97.9,110.2,93.12,0.27710843373493976,28.0,57.0,0.4912280701754386,0.6867469879518072,0.2682926829268293,0.7317073170731707,1.2777777777777777,0.6111111111111112,64.125,0.21686746987951808,1.6571428571428573,-12.0,1
5,Chicago Bulls,Miami Heat,201310290,Miami Heat1,35.0,83.0,0.42168674698795183,7.0,26.0,0.2692307692307692,18.0,23.0,0.7826086956521741,11.0,30.0,41.0,23.0,11.0,4.0,18.0,27.0,95.0,0.5100945017182129,0.463855421686747,0.3132530120481928,0.27699999999999997,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100.0,97.9,110.2,93.12,0.27710843373493976,28.0,57.0,0.4912280701754386,0.6867469879518072,0.2682926829268293,0.7317073170731707,1.2777777777777777,0.6111111111111112,64.125,0.21686746987951808,1.6571428571428573,-12.0,37.0,72.0,0.5138888888888888,11.0,20.0,0.55,22.0,29.0,0.7586206896551724,5.0,35.0,40.0,26.0,10.0,7.0,18.0,21.0,107.0,0.6311939594148183,0.5902777777777778,0.2777777777777778,0.40299999999999997,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100.0,110.2,97.9,84.76,0.4027777777777778,26.0,52.0,0.5,0.7222222222222222,0.125,0.875,1.4444444444444444,0.5555555555555556,87.875,0.3055555555555556,1.7027027027027026,12.0,0
6,Cleveland Cavaliers,Brooklyn Nets,201310300,Cleveland Cavaliers1,35.0,84.0,0.4166666666666667,5.0,15.0,0.3333333333333333,23.0,34.0,0.6764705882352942,16.0,32.0,48.0,21.0,7.0,3.0,11.0,20.0,98.0,0.4951495553759094,0.44642857142857145,0.17857142857142858,0.405,36.4,78.0,56.5,60.0,7.6,5.2,10.0,100.0,106.2,101.8,98.96,0.4047619047619048,30.0,69.0,0.43478260869565216,0.8214285714285714,0.3333333333333333,0.6666666666666666,1.9090909090909087,0.6363636363636364,72.25,0.27380952380952384,1.6,4.0,33.0,82.0,0.4024390243902439,9.0,24.0,0.375,19.0,24.0,0.7916666666666666,9.0,28.0,37.0,24.0,8.0,8.0,15.0,27.0,94.0,0.5077787381158168,0.4573170731707317,0.2926829268292683,0.293,22.0,63.6,43.5,72.7,8.7,11.6,13.9,100.0,101.8,106.2,92.56,0.2926829268292683,24.0,58.0,0.4137931034482759,0.7073170731707317,0.2432432432432433,0.7567567567567568,1.6,0.5333333333333333,65.0,0.23170731707317074,1.7272727272727273,-4.0,1
7,Brooklyn Nets,Cleveland Cavaliers,201310300,Cleveland Cavaliers1,33.0,82.0,0.4024390243902439,9.0,24.0,0.375,19.0,24.0,0.7916666666666666,9.0,28.0,37.0,24.0,8.0,8.0,15.0,27.0,94.0,0.5077787381158168,0.4573170731707317,0.2926829268292683,0.293,22.0,63.6,43.5,72.7,8.7,11.6,13.9,100.0,101.8,106.2,92.56,0.2926829268292683,24.0,58.0,0.4137931034482759,0.7073170731707317,0.2432432432432433,0.7567567567567568,1.6,0.5333333333333333,65.0,0.23170731707317074,1.7272727272727273,-4.0,35.0,84.0,0.4166666666666667,5.0,15.0,0.3333333333333333,23.0,34.0,0.6764705882352942,16.0,32.0,48.0,21.0,7.0,3.0,11.0,20.0,98.0,0.4951495553759094,0.44642857142857145,0.17857142857142858,0.405,36.4,78.0,56.5,60.0,7.6,5.2,10.0,100.0,106.2,101.8,98.96,0.4047619047619048,30.0,69.0,0.43478260869565216,0.8214285714285714,0.3333333333333333,0.6666666666666666,1.9090909090909087,0.6363636363636364,72.25,0.27380952380952384,1.6,4.0,0
8,Dallas Mavericks,Atlanta Hawks,201310300,Dallas Mavericks1,44.0,77.0,0.5714285714285714,11.0,24.0,0.4583333333333333,19.0,24.0,0.7916666666666666,7.0,35.0,42.0,31.0,7.0,2.0,20.0,22.0,118.0,0.6738236637734125,0.6428571428571429,0.3116883116883117,0.312,20.0,87.5,56.0,70.5,7.0,3.8,18.6,100.0,117.2,108.3,87.56,0.3116883116883117,33.0,53.0,0.6226415094339622,0.6883116883116883,0.16666666666666666,0.8333333333333334,1.55,0.35,93.5,0.24675324675324675,1.7045454545454546,9.0,37.0,76.0,0.4868421052631579,8.0,24.0,0.3333333333333333,27.0,35.0,0.7714285714285715,5.0,28.0,33.0,27.0,16.0,5.0,17.0,20.0,109.0,0.5962800875273523,0.5394736842105263,0.3157894736842105,0.461,12.5,80.0,44.0,73.0,15.9,9.4,15.7,100.0,108.3,117.2,91.4,0.4605263157894737,29.0,52.0,0.5576923076923077,0.6842105263157895,0.15151515151515152,0.8484848484848485,1.5882352941176472,0.9411764705882352,85.875,0.35526315789473684,1.7297297297297298,-9.0,1
9,Atlanta Hawks,Dallas Mavericks,201310300,Dallas Mavericks1,37.0,76.0,0.4868421052631579,8.0,24.0,0.3333333333333333,27.0,35.0,0.7714285714285715,5.0,28.0,33.0,27.0,16.0,5.0,17.0,20.0,109.0,0.5962800875273523,0.5394736842105263,0.3157894736842105,0.461,12.5,80.0,44.0,73.0,15.9,9.4,15.7,100.0,108.3,117.2,91.4,0.4605263157894737,29.0,52.0,0.5576923076923077,0.6842105263157895,0.15151515151515152,0.8484848484848485,1.5882352941176472,0.9411764705882352,85.875,0.35526315789473684,1.7297297297297298,-9.0,44.0,77.0,0.5714285714285714,11.0,24.0,0.4583333333333333,19.0,24.0,0.7916666666666666,7.0,35.0,42.0,31.0,7.0,2.0,20.0,22.0,118.0,0.6738236637734125,0.6428571428571429,0.3116883116883117,0.312,20.0,87.5,56.0,70.5,7.0,3.8,18.6,100.0,117.2,108.3,87.56,0.3116883116883117,33.0,53.0,0.6226415094339622,0.6883116883116883,0.16666666666666666,0.8333333333333334,1.55,0.35,93.5,0.24675324675324675,1.7045454545454546,9.0,0
