,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2017-10-17,Cleveland,Boston,214.5,4.0,110.0,1.5,-195,166,201,3,109,-13
1,2017-10-17,Golden State,Houston,232.0,9.0,115.5,2.5,-470,364,243,-1,110,-10
2,2017-10-18,Indiana,Brooklyn,212.0,3.5,112.5,1.5,-155,135,271,9,143,7
3,2017-10-18,Washington,Philadelphia,215.5,6.5,108.5,6.0,-300,240,235,5,120,8
4,2017-10-18,Orlando,Miami,207.0,3.0,100,4,145,-170,225,7,112,4
5,2017-10-18,Detroit,Charlotte,204.0,3.0,100.0,2.5,-145,125,192,12,91,1
6,2017-10-18,Boston,Milwaukee,208.5,6.0,101,2,-125,105,208,-8,97,-3
7,2017-10-18,Memphis,New Orleans,205.0,3.0,100.5,0.5,-130,110,194,12,88,10
8,2017-10-18,Dallas,Atlanta,199.5,6.5,103.5,6.0,-240,190,228,-6,123,5
9,2017-10-18,Utah,Denver,209.0,2.0,101.5,3.5,-140,120,202,10,95,19
10,2017-10-18,San Antonio,Minnesota,207.0,3.0,100,1,-125,105,206,8,104,4
11,2017-10-18,Sacramento,Houston,218.5,9.0,105.0,2.5,250,-310,205,-5,105,-1
12,2017-10-18,Phoenix,Portland,220.0,1.0,113,5,120,-140,200,-48,105,-23
13,2017-10-19,Toronto,Chicago,206.0,12.0,101.0,1.5,-1400,800,218,16,123,-5
14,2017-10-19,Okla City,New York,213.0,11.5,103.5,3.5,-1000,650,189,21,94,10
15,2017-10-19,LA Lakers,LA Clippers,218.5,4.5,pk,108.5,210,-260,200,-16,105,-5
16,2017-10-20,Philadelphia,Boston,216.5,1.0,112.0,0.5,-150,130,194,-10,98,-14
17,2017-10-20,Charlotte,Atlanta,202.5,6.0,107.5,4.0,-190,160,200,18,95,25
18,2017-10-20,Washington,Detroit,210.5,6.5,104,6,-280,230,226,4,103,11
19,2017-10-20,Milwaukee,Cleveland,210.0,1.5,103,2,-115,-105,213,-19,109,-13
20,2017-10-20,Indiana,Portland,219.0,3.5,112.5,0.5,185,-230,210,-18,96,-8
21,2017-10-20,Brooklyn,Orlando,220.0,1.0,pk,111,-130,110,247,5,134,2
22,2017-10-20,Minnesota,Utah,200.0,5.5,101.5,1.5,-200,170,197,3,109,-1
23,2017-10-20,Dallas,Sacramento,203.0,5.5,98.5,4.0,-250,200,181,-5,89,-5
24,2017-10-20,New Orleans,Golden State,222.5,6.5,109.5,9.0,360,-470,248,-8,123,-11
25,2017-10-20,Phoenix,LA Lakers,222.0,2.5,110.5,1.0,-160,140,262,-2,119,-5
26,2017-10-21,Toronto,Philadelphia,216.0,7.5,pk,107,-365,292,222,34,111,21
27,2017-10-21,Cleveland,Orlando,212.5,11.0,105.5,13.0,-850,588,207,-21,106,-10
28,2017-10-21,Houston,Dallas,214.5,10.5,106.5,0.5,-850,588,198,16,97,-7
29,2017-10-21,New York,Detroit,206.5,1.5,100,5,-105,-115,218,-4,103,-17
30,2017-10-21,Miami,Indiana,211.0,8.5,104.5,1.0,-425,334,220,4,107,-9
31,2017-10-21,Chicago,San Antonio,202.0,7.5,104.5,5.5,447,-600,164,-10,85,-7
32,2017-10-21,Memphis,Golden State,213.0,7.5,105.5,8.5,299,-375,212,10,105,5
33,2017-10-21,Milwaukee,Portland,213.5,4.5,108.0,0.5,-150,130,223,3,108,-2
34,2017-10-21,Denver,Sacramento,216.0,11.0,103.0,4.5,-850,588,175,17,99,9
35,2017-10-21,Utah,Okla City,200.5,4.0,96.5,5.0,155,-180,183,9,105,-1
36,2017-10-21,LA Clippers,Phoenix,220.0,11.5,113,3,-1450,857,218,42,116,28
37,2017-10-22,Brooklyn,Atlanta,219.5,2.5,pk,116,-115,-105,220,12,111,9
38,2017-10-22,Okla City,Minnesota,211.5,4.5,104.0,4.5,-180,150,228,-2,113,5
39,2017-10-22,LA Lakers,New Orleans,217.0,4.0,110.5,1.5,175,-210,231,-7,108,6
40,2017-10-23,Detroit,Philadelphia,213.0,4.0,104.0,5.5,-160,140,183,-11,84,2
41,2017-10-23,Miami,Atlanta,206.0,11.5,106.0,0.5,-700,500,197,11,91,-7
42,2017-10-23,Houston,Memphis,210.5,8.0,105,2,-360,280,188,-8,81,-15
43,2017-10-23,Milwaukee,Charlotte,205.0,6.0,101,5,-260,210,197,9,90,10
