,Date,Home,Away,OU,Spread,OU_2H,Spread_2H,ML_home,ML_away,Points,Win Margin,2H Points,2H Win Margin
0,2018-10-16,Boston,Philadelphia,208.5,5.0,211.5,4.5,-200,170,192,18,103,13
1,2018-10-16,Golden State,Okla City,223.5,11.5,108.5,4.5,-1100,711,208,8,104,-2
2,2018-10-17,Indiana,Memphis,209.0,7.0,99,1,-325,263,194,28,99,11
3,2018-10-17,Charlotte,Milwaukee,217.0,1.5,114.0,2.5,144,-165,225,-1,104,12
4,2018-10-17,Orlando,Miami,210.5,2.0,103,3,115,-135,205,3,100,0
5,2018-10-17,Detroit,Brooklyn,212.0,4.5,110.5,4.0,-255,211,203,3,101,3
6,2018-10-17,New York,Atlanta,213.5,3.5,106,4,-170,148,233,19,112,-4
7,2018-10-17,Toronto,Cleveland,214.0,11.5,106.5,3.0,-1300,797,220,12,113,-1
8,2018-10-17,Houston,New Orleans,229.5,7.5,114.0,9.5,-345,278,243,-19,118,-2
9,2018-10-17,San Antonio,Minnesota,210.5,1.0,105.0,0.5,-145,125,220,4,112,0
10,2018-10-17,Sacramento,Utah,208.0,7.5,106.0,1.5,317,-400,240,-6,117,7
11,2018-10-17,Phoenix,Dallas,215.0,1.0,106.0,4.5,110,-130,221,21,119,11
12,2018-10-18,Philadelphia,Chicago,215.0,11.0,109,5,-1150,733,235,19,112,12
13,2018-10-18,Washington,Miami,212.0,4.0,106.5,3.5,-260,215,225,-1,108,-2
14,2018-10-18,Portland,LA Lakers,222.0,2.5,112.0,1.5,-155,135,247,9,119,7
15,2018-10-19,Brooklyn,New York,218.5,3.0,pk,110,-170,148,212,2,105,-5
16,2018-10-19,New Orleans,Sacramento,228.0,10.5,115,4,-1000,664,278,20,143,11
17,2018-10-19,Toronto,Boston,206.0,3.0,109.0,2.5,-155,135,214,12,112,16
18,2018-10-19,Minnesota,Cleveland,223.5,8.0,107.5,1.0,-425,334,254,8,129,-9
19,2018-10-19,Memphis,Atlanta,208.5,6.5,107.5,0.5,-290,237,248,14,110,-2
20,2018-10-19,Milwaukee,Indiana,214.5,3.0,105.5,0.5,-165,144,219,17,104,8
21,2018-10-19,Utah,Golden State,218.0,2.0,108.5,5.5,115,-135,247,-1,97,-13
22,2018-10-19,LA Clippers,Okla City,215.5,1.5,106,1,-150,130,200,16,106,14
23,2018-10-20,Washington,Toronto,216.5,1.0,108.5,1.5,-130,110,230,-4,119,-1
24,2018-10-20,Indiana,Brooklyn,210.5,9.0,111.5,2.0,-380,303,244,20,119,11
25,2018-10-20,Philadelphia,Orlando,217.0,11.5,106.5,4.0,-1300,797,231,1,116,-10
26,2018-10-20,New York,Boston,211.5,8.0,109.0,6.5,384,-500,204,-2,106,0
27,2018-10-20,Miami,Charlotte,216.5,5.0,112,7,-155,135,225,-1,101,19
28,2018-10-20,Chicago,Detroit,214.0,2.5,106.5,2.5,170,-200,234,-2,116,0
29,2018-10-20,Dallas,Minnesota,216.0,2.5,110,1,-130,110,276,4,138,4
30,2018-10-20,Denver,Phoenix,223.0,9.0,110.5,1.0,-620,459,210,28,96,12
31,2018-10-20,Portland,San Antonio,213.0,4.0,pk,110,-205,172,229,13,120,4
32,2018-10-20,LA Lakers,Houston,235.0,2.0,117,1,140,-160,239,-9,111,-5
33,2018-10-21,Cleveland,Atlanta,226.5,5.5,115,8,-380,303,244,-22,120,-18
34,2018-10-21,Okla City,Sacramento,219.5,8.5,111.5,10.0,-650,477,251,-11,127,1
35,2018-10-21,Denver,Golden State,230.0,3.0,113.0,2.5,163,-189,198,2,102,4
36,2018-10-21,LA Clippers,Houston,225.0,2.5,107.5,1.0,-135,115,227,3,120,2
37,2018-10-22,Toronto,Charlotte,221.0,9.0,pk,115.5,-400,317,233,21,124,6
38,2018-10-22,Boston,Orlando,212.0,12.0,104.5,9.5,-894,611,183,-3,90,0
39,2018-10-22,Minnesota,Indiana,221.5,2.0,112,1,-130,110,192,10,93,9
40,2018-10-22,Milwaukee,New York,222.0,10.0,110.5,1.0,-900,614,237,11,114,-8
41,2018-10-22,Dallas,Chicago,228.5,4.5,112.0,4.5,-200,170,224,6,104,8
42,2018-10-22,Utah,Memphis,218.0,9.0,105,8,-700,506,176,-8,83,-7
43,2018-10-22,Portland,Washington,226.0,4.5,114.0,3.5,-185,160,249,-1,98,0
44,2018-10-22,LA Lakers,San Antonio,222.5,1.0,116.5,2.5,-130,110,285,-1,131,5
45,2018-10-22,Golden State,Phoenix,228.5,13.0,111.0,1.5,-1300,797,226,20,109,-3
46,2018-10-23,Detroit,Philadelphia,219.0,3.0,105.5,0.5,100,-120,265,1,115,3
47,2018-10-23,New Orleans,LA Clippers,233.0,5.5,116.0,5.5,-245,203,225,7,104,10
48,2018-10-23,Denver,Sacramento,227.0,11.5,111.5,3.0,-900,614,238,14,115,1
49,2018-10-24,Cleveland,Brooklyn,228.0,3.0,116,2,-145,125,188,-16,98,-16
50,2018-10-24,Atlanta,Dallas,231.5,2.5,116.0,2.5,110,-130,215,7,109,17
51,2018-10-24,Miami,New York,224.0,8.0,106.0,4.5,-400,300,197,23,105,21
52,2018-10-24,Toronto,Minnesota,226.0,8.0,111.5,2.0,-425,325,217,7,112,-2
53,2018-10-24,Chicago,Charlotte,227.0,3.5,118,4,170,-200,222,2,115,1
54,2018-10-24,Houston,Utah,218.5,3.5,110.5,3.0,-115,-105,189,-11,93,-3
55,2018-10-24,San Antonio,Indiana,215.0,2.0,103,4,-125,105,212,-20,100,-8
56,2018-10-24,Milwaukee,Philadelphia,224.5,4.5,113.0,0.5,-220,180,231,15,96,8
57,2018-10-24,Phoenix,LA Lakers,234.0,2.0,115.5,4.0,185,-230,244,-18,114,4
58,2018-10-24,Sacramento,Memphis,220.0,2.0,105.5,1.0,120,-140,189,5,93,13
59,2018-10-24,Golden State,Washington,231.5,9.5,118,3,-650,450,266,22,115,13
60,2018-10-25,Detroit,Cleveland,223.5,6.5,106.5,3.5,-500,375,213,7,105,-1
61,2018-10-25,Okla City,Boston,209.0,1.5,112,5,-110,-110,196,-6,112,-22
62,2018-10-25,LA Lakers,Denver,239.0,3.5,115,1,100,-120,235,7,120,6
63,2018-10-26,Charlotte,Chicago,228.0,8.0,109.5,1.5,-650,450,241,29,119,15
64,2018-10-26,Toronto,Dallas,229.0,10.5,109.5,4.5,-1000,650,223,9,94,0
65,2018-10-26,New York,Golden State,228.0,11.5,109.5,8.5,650,-1000,228,-28,122,-28
66,2018-10-26,New Orleans,Brooklyn,234.0,9.5,119,9,-500,375,232,2,109,11
