,home_FT,home_ORB,away_FT%,away_AST/TOV,home_FG,away_TRB%,away_DRB,away_FG,home_AST%,away_FTr,away_ORB,home_AST,home_STL%,home_DRB,away_FTAr,away_+/-,home_2P,away_3PAr,away_BLK,away_TRB,away_FTA,home_TOV%,home_STL/TOV,home_2PA,home_BLK%,home_eFG%,home_STL,home_2PAr,home_FT/FGA,away_AST%,away_2P,away_eFG%,home_FIC,away_TOV,home_ORtg,away_PF,home_3P,home_PF,home_DRtg,home_TOV,away_AST,away_FIC,away_3P,away_STL,home_HOB,home_FTAr,away_name,away_FGA,date,away_TOV%,home_TRB,home_DRB%,home_+/-,home_3PAr,away_DRBr,home_PTS,home_name,home_DRBr,home_TRB%,away_STL/TOV,away_PTS,away_FG%,home_2P%,away_USG%,away_DRB%,away_HOB,away_FT,home_FT%,home_TS%,away_3PA,away_2PAr,away_2PA,home_ORBr,home_3P%,away_ORBr,away_ORtg,home_FG%,away_TSA,away_BLK%,home_BLK,index,away_2P%,away_FT/FGA,home_FTr,away_DRtg,away_STL%,away_TS%,home_AST/TOV,home_FGA,away_ORB%,home_FTA,home_3PA,home_TSA,away_3P%,home_ORB%,home_USG%
0,31.0,11.0,0.68,1.6923076923076923,28.0,56.6,33.0,31.0,57.1,0.685,14.0,16.0,7.7,25.0,0.684931506849315,18.0,25.0,0.3972602739726027,3.0,47.0,50.0,10.3,0.6363636363636364,69.0,6.8,0.37341772151898733,7.0,0.8734177215189873,0.3924050632911392,71.0,19.0,0.5068493150684932,44.875,13.0,99.0,30.0,3.0,32.0,118.8,11.0,22.0,77.25,12.0,7.0,1.5714285714285714,0.4936708860759494,Houston Rockets,73.0,201410280,12.0,36.0,64.1,-18.0,0.12658227848101267,0.7021276595744681,90.0,Los Angeles Lakers,0.6944444444444444,43.4,0.5384615384615384,108.0,0.4246575342465753,0.36231884057971014,100.0,75.0,1.7096774193548387,34.0,0.7948717948717948,0.46797004991680535,29.0,0.6027397260273972,44.0,0.3055555555555556,0.3,0.2978723404255319,118.8,0.35443037974683544,95.0,4.3,3.0,Los Angeles Lakers1,0.4318181818181818,0.4657534246575342,0.494,99.0,7.7,0.5684210526315789,1.4545454545454546,79.0,35.9,39.0,10.0,96.16,0.41379310344827586,25.0,100.0
1,31.0,11.0,0.68,1.6923076923076923,28.0,56.6,33.0,31.0,57.1,0.685,14.0,16.0,7.7,25.0,0.684931506849315,18.0,25.0,0.3972602739726027,3.0,47.0,50.0,10.3,0.6363636363636364,69.0,6.8,0.37341772151898733,7.0,0.8734177215189873,0.3924050632911392,71.0,19.0,0.5068493150684932,44.875,13.0,99.0,30.0,3.0,32.0,118.8,11.0,22.0,77.25,12.0,7.0,1.5714285714285714,0.4936708860759494,Houston Rockets,73.0,201410280,12.0,36.0,64.1,-18.0,0.12658227848101267,0.7021276595744681,90.0,Los Angeles Lakers,0.6944444444444444,43.4,0.5384615384615384,108.0,0.4246575342465753,0.36231884057971014,100.0,75.0,1.7096774193548387,34.0,0.7948717948717948,0.46797004991680535,29.0,0.6027397260273972,44.0,0.3055555555555556,0.3,0.2978723404255319,118.8,0.35443037974683544,95.0,4.3,3.0,Houston Rockets1,0.4318181818181818,0.4657534246575342,0.494,99.0,7.7,0.5684210526315789,1.4545454545454546,79.0,35.9,39.0,10.0,96.16,0.41379310344827586,25.0,100.0
2,15.0,26.0,0.7619047619047619,0.9444444444444444,41.0,47.5,40.0,32.0,48.8,0.25,16.0,20.0,10.5,36.0,0.25,-17.0,37.0,0.13095238095238096,9.0,56.0,21.0,7.3,1.1111111111111112,84.0,23.3,0.42574257425742573,10.0,0.8316831683168316,0.1485148514851485,53.1,28.0,0.40476190476190477,96.125,18.0,106.1,25.0,4.0,17.0,88.2,9.0,17.0,59.625,4.0,5.0,1.4878048780487805,0.3069306930693069,Orlando Magic,84.0,201410280,16.2,62.0,69.2,17.0,0.16831683168316833,0.7142857142857143,101.0,New Orleans Pelicans,0.5806451612903226,52.5,0.2777777777777778,84.0,0.38095238095238093,0.44047619047619047,100.0,60.6,1.53125,16.0,0.4838709677419355,0.44050942079553385,11.0,0.8690476190476191,73.0,0.41935483870967744,0.23529411764705882,0.2857142857142857,88.2,0.40594059405940597,93.24,10.7,17.0,New Orleans Pelicans1,0.3835616438356164,0.19047619047619047,0.307,106.1,5.3,0.45045045045045046,2.2222222222222223,101.0,30.8,31.0,17.0,114.64,0.36363636363636365,39.4,100.0
3,15.0,26.0,0.7619047619047619,0.9444444444444444,41.0,47.5,40.0,32.0,48.8,0.25,16.0,20.0,10.5,36.0,0.25,-17.0,37.0,0.13095238095238096,9.0,56.0,21.0,7.3,1.1111111111111112,84.0,23.3,0.42574257425742573,10.0,0.8316831683168316,0.1485148514851485,53.1,28.0,0.40476190476190477,96.125,18.0,106.1,25.0,4.0,17.0,88.2,9.0,17.0,59.625,4.0,5.0,1.4878048780487805,0.3069306930693069,Orlando Magic,84.0,201410280,16.2,62.0,69.2,17.0,0.16831683168316833,0.7142857142857143,101.0,New Orleans Pelicans,0.5806451612903226,52.5,0.2777777777777778,84.0,0.38095238095238093,0.44047619047619047,100.0,60.6,1.53125,16.0,0.4838709677419355,0.44050942079553385,11.0,0.8690476190476191,73.0,0.41935483870967744,0.23529411764705882,0.2857142857142857,88.2,0.40594059405940597,93.24,10.7,17.0,Orlando Magic1,0.3835616438356164,0.19047619047619047,0.307,106.1,5.3,0.45045045045045046,2.2222222222222223,101.0,30.8,31.0,17.0,114.64,0.36363636363636365,39.4,100.0
4,13.0,9.0,0.8421052631578947,1.7,37.0,46.5,24.0,38.0,62.2,0.244,9.0,23.0,5.8,29.0,0.24358974358974358,-1.0,23.0,0.2692307692307692,3.0,33.0,19.0,20.6,0.25,42.0,5.3,0.6285714285714286,5.0,0.6,0.18571428571428572,44.7,30.0,0.5384615384615384,74.25,10.0,117.3,20.0,14.0,20.0,116.1,20.0,17.0,70.375,8.0,9.0,1.6216216216216217,0.22857142857142856,Dallas Mavericks,78.0,201410280,10.4,38.0,76.3,1.0,0.4,0.7272727272727273,101.0,San Antonio Spurs,0.7631578947368421,53.5,0.9,100.0,0.48717948717948717,0.5476190476190477,100.0,72.7,1.4473684210526316,16.0,0.8125,0.655503634475597,21.0,0.7307692307692307,57.0,0.23684210526315788,0.5,0.2727272727272727,116.1,0.5285714285714286,86.36,7.1,3.0,San Antonio Spurs1,0.5263157894736842,0.20512820512820512,0.229,117.3,10.5,0.5789717461787864,1.15,70.0,23.7,16.0,28.0,77.04,0.38095238095238093,27.3,100.0
5,13.0,9.0,0.8421052631578947,1.7,37.0,46.5,24.0,38.0,62.2,0.244,9.0,23.0,5.8,29.0,0.24358974358974358,-1.0,23.0,0.2692307692307692,3.0,33.0,19.0,20.6,0.25,42.0,5.3,0.6285714285714286,5.0,0.6,0.18571428571428572,44.7,30.0,0.5384615384615384,74.25,10.0,117.3,20.0,14.0,20.0,116.1,20.0,17.0,70.375,8.0,9.0,1.6216216216216217,0.22857142857142856,Dallas Mavericks,78.0,201410280,10.4,38.0,76.3,1.0,0.4,0.7272727272727273,101.0,San Antonio Spurs,0.7631578947368421,53.5,0.9,100.0,0.48717948717948717,0.5476190476190477,100.0,72.7,1.4473684210526316,16.0,0.8125,0.655503634475597,21.0,0.7307692307692307,57.0,0.23684210526315788,0.5,0.2727272727272727,116.1,0.5285714285714286,86.36,7.1,3.0,Dallas Mavericks1,0.5263157894736842,0.20512820512820512,0.229,117.3,10.5,0.5789717461787864,1.15,70.0,23.7,16.0,28.0,77.04,0.38095238095238093,27.3,100.0
6,15.0,9.0,0.7692307692307693,1.0,49.0,52.7,30.0,39.0,57.1,0.325,9.0,28.0,11.1,26.0,0.325,-16.0,41.0,0.2375,7.0,39.0,26.0,10.9,0.9166666666666666,66.0,8.2,0.6022727272727273,11.0,0.75,0.17045454545454544,51.3,32.0,0.53125,94.375,20.0,121.8,21.0,8.0,25.0,105.7,12.0,20.0,69.25,7.0,6.0,1.5714285714285714,0.26136363636363635,Brooklyn Nets,80.0,201410290,17.9,35.0,74.3,16.0,0.25,0.7692307692307693,121.0,Boston Celtics,0.7428571428571429,47.3,0.3,105.0,0.4875,0.6212121212121212,100.0,76.9,1.5128205128205128,20.0,0.6521739130434783,0.6165919282511211,19.0,0.7625,61.0,0.2571428571428571,0.36363636363636365,0.23076923076923078,105.7,0.5568181818181818,91.44,10.6,5.0,Boston Celtics1,0.5245901639344263,0.25,0.261,121.8,6.0,0.5741469816272966,2.3333333333333335,88.0,25.7,23.0,22.0,98.12,0.3684210526315789,23.1,100.0
7,15.0,9.0,0.7692307692307693,1.0,49.0,52.7,30.0,39.0,57.1,0.325,9.0,28.0,11.1,26.0,0.325,-16.0,41.0,0.2375,7.0,39.0,26.0,10.9,0.9166666666666666,66.0,8.2,0.6022727272727273,11.0,0.75,0.17045454545454544,51.3,32.0,0.53125,94.375,20.0,121.8,21.0,8.0,25.0,105.7,12.0,20.0,69.25,7.0,6.0,1.5714285714285714,0.26136363636363635,Brooklyn Nets,80.0,201410290,17.9,35.0,74.3,16.0,0.25,0.7692307692307693,121.0,Boston Celtics,0.7428571428571429,47.3,0.3,105.0,0.4875,0.6212121212121212,100.0,76.9,1.5128205128205128,20.0,0.6521739130434783,0.6165919282511211,19.0,0.7625,61.0,0.2571428571428571,0.36363636363636365,0.23076923076923078,105.7,0.5568181818181818,91.44,10.6,5.0,Brooklyn Nets1,0.5245901639344263,0.25,0.261,121.8,6.0,0.5741469816272966,2.3333333333333335,88.0,25.7,23.0,22.0,98.12,0.3684210526315789,23.1,100.0
8,20.0,15.0,0.875,1.7857142857142858,41.0,41.2,32.0,39.0,65.9,0.3,3.0,27.0,7.9,35.0,0.3,-2.0,35.0,0.175,10.0,35.0,24.0,8.1,0.8,80.0,13.6,0.43564356435643564,8.0,0.7920792079207921,0.19801980198019803,64.1,32.0,0.53125,86.625,14.0,106.8,25.0,6.0,20.0,104.8,10.0,25.0,81.5,7.0,9.0,1.6585365853658536,0.2871287128712871,Milwaukee Bucks,80.0,201410290,13.4,50.0,92.1,2.0,0.2079207920792079,0.9142857142857143,108.0,Charlotte Hornets,0.7,58.8,0.6428571428571429,106.0,0.4875,0.4375,100.0,68.1,1.641025641025641,21.0,0.6896551724137931,0.47468354430379744,14.0,0.825,66.0,0.3,0.2857142857142857,0.08571428571428572,104.8,0.40594059405940597,90.56,12.5,9.0,Charlotte Hornets1,0.48484848484848486,0.2625,0.287,106.8,8.9,0.5852473498233215,2.7,101.0,7.9,29.0,21.0,113.76,0.5,31.9,100.0
9,20.0,15.0,0.875,1.7857142857142858,41.0,41.2,32.0,39.0,65.9,0.3,3.0,27.0,7.9,35.0,0.3,-2.0,35.0,0.175,10.0,35.0,24.0,8.1,0.8,80.0,13.6,0.43564356435643564,8.0,0.7920792079207921,0.19801980198019803,64.1,32.0,0.53125,86.625,14.0,106.8,25.0,6.0,20.0,104.8,10.0,25.0,81.5,7.0,9.0,1.6585365853658536,0.2871287128712871,Milwaukee Bucks,80.0,201410290,13.4,50.0,92.1,2.0,0.2079207920792079,0.9142857142857143,108.0,Charlotte Hornets,0.7,58.8,0.6428571428571429,106.0,0.4875,0.4375,100.0,68.1,1.641025641025641,21.0,0.6896551724137931,0.47468354430379744,14.0,0.825,66.0,0.3,0.2857142857142857,0.08571428571428572,104.8,0.40594059405940597,90.56,12.5,9.0,Milwaukee Bucks1,0.48484848484848486,0.2625,0.287,106.8,8.9,0.5852473498233215,2.7,101.0,7.9,29.0,21.0,113.76,0.5,31.9,100.0
